Number,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 2,Type 1
30,Nidorina,365,70,62,67,55,55,56,,Poison
31,Nidoqueen,505,90,92,87,75,85,76,Ground,Poison
32,Nidoran?,273,46,57,40,40,40,50,,Poison
33,Nidorino,365,61,72,57,55,55,65,,Poison
34,Nidoking,505,81,102,77,85,75,85,Ground,Poison
35,Clefairy,323,70,45,48,60,65,35,,Fairy
36,Clefable,483,95,70,73,95,90,60,,Fairy
37,Vulpix,299,38,41,40,50,65,65,,Fire
38,Ninetales,505,73,76,75,81,100,100,,Fire
39,Jigglypuff,270,115,45,20,45,25,20,Fairy,Normal
40,Wigglytuff,435,140,70,45,85,50,45,Fairy,Normal
41,Zubat,245,40,45,35,30,40,55,Flying,Poison
42,Golbat,455,75,80,70,65,75,90,Flying,Poison
43,Oddish,320,45,50,55,75,65,30,Poison,Grass
44,Gloom,395,60,65,70,85,75,40,Poison,Grass
45,Vileplume,490,75,80,85,110,90,50,Poison,Grass
46,Paras,285,35,70,55,45,55,25,Grass,Bug
47,Parasect,405,60,95,80,60,80,30,Grass,Bug
48,Venonat,305,60,55,50,40,55,45,Poison,Bug
49,Venomoth,450,70,65,60,90,75,90,Poison,Bug
50,Diglett,265,10,55,25,35,45,95,,Ground
51,Dugtrio,405,35,80,50,50,70,120,,Ground
52,Meowth,290,40,45,35,40,40,90,,Normal
53,Persian,440,65,70,60,65,65,115,,Normal
54,Psyduck,320,50,52,48,65,50,55,,Water
55,Golduck,500,80,82,78,95,80,85,,Water
56,Mankey,305,40,80,35,35,45,70,,Fighting
57,Primeape,455,65,105,60,60,70,95,,Fighting
58,Growlithe,350,55,70,45,70,50,60,,Fire
59,Arcanine,555,90,110,80,100,80,95,,Fire
60,Poliwag,300,40,50,40,40,40,90,,Water
61,Poliwhirl,385,65,65,65,50,50,90,,Water
62,Poliwrath,510,90,95,95,70,90,70,Fighting,Water
63,Abra,310,25,20,15,105,55,90,,Psychic
64,Kadabra,400,40,35,30,120,70,105,,Psychic
65,Alakazam,500,55,50,45,135,95,120,,Psychic
65,AlakazamMega Alakazam,590,55,50,65,175,95,150,,Psychic
66,Machop,305,70,80,50,35,35,35,,Fighting
67,Machoke,405,80,100,70,50,60,45,,Fighting
68,Machamp,505,90,130,80,65,85,55,,Fighting
69,Bellsprout,300,50,75,35,70,30,40,Poison,Grass
70,Weepinbell,390,65,90,50,85,45,55,Poison,Grass
71,Victreebel,490,80,105,65,100,70,70,Poison,Grass
72,Tentacool,335,40,40,35,50,100,70,Poison,Water
73,Tentacruel,515,80,70,65,80,120,100,Poison,Water
74,Geodude,300,40,80,100,30,30,20,Ground,Rock
75,Graveler,390,55,95,115,45,45,35,Ground,Rock
76,Golem,495,80,120,130,55,65,45,Ground,Rock
77,Ponyta,410,50,85,55,65,65,90,,Fire
78,Rapidash,500,65,100,70,80,80,105,,Fire
79,Slowpoke,315,90,65,65,40,40,15,Psychic,Water
80,Slowbro,490,95,75,110,100,80,30,Psychic,Water
80,SlowbroMega Slowbro,590,95,75,180,130,80,30,Psychic,Water
81,Magnemite,325,25,35,70,95,55,45,Steel,Electric
82,Magneton,465,50,60,95,120,70,70,Steel,Electric
83,Farfetch'd,352,52,65,55,58,62,60,Flying,Normal
84,Doduo,310,35,85,45,35,35,75,Flying,Normal
85,Dodrio,460,60,110,70,60,60,100,Flying,Normal
86,Seel,325,65,45,55,45,70,45,,Water
87,Dewgong,475,90,70,80,70,95,70,Ice,Water
88,Grimer,325,80,80,50,40,50,25,,Poison
89,Muk,500,105,105,75,65,100,50,,Poison
90,Shellder,305,30,65,100,45,25,40,,Water
91,Cloyster,525,50,95,180,85,45,70,Ice,Water
92,Gastly,310,30,35,30,100,35,80,Poison,Ghost
93,Haunter,405,45,50,45,115,55,95,Poison,Ghost
94,Gengar,500,60,65,60,130,75,110,Poison,Ghost
94,GengarMega Gengar,600,60,65,80,170,95,130,Poison,Ghost
95,Onix,385,35,45,160,30,45,70,Ground,Rock
96,Drowzee,328,60,48,45,43,90,42,,Psychic
97,Hypno,483,85,73,70,73,115,67,,Psychic
98,Krabby,325,30,105,90,25,25,50,,Water
99,Kingler,475,55,130,115,50,50,75,,Water
100,Voltorb,330,40,30,50,55,55,100,,Electric
101,Electrode,480,60,50,70,80,80,140,,Electric
102,Exeggcute,325,60,40,80,60,45,40,Psychic,Grass
103,Exeggutor,520,95,95,85,125,65,55,Psychic,Grass
104,Cubone,320,50,50,95,40,50,35,,Ground
105,Marowak,425,60,80,110,50,80,45,,Ground
106,Hitmonlee,455,50,120,53,35,110,87,,Fighting
107,Hitmonchan,455,50,105,79,35,110,76,,Fighting
108,Lickitung,385,90,55,75,60,75,30,,Normal
109,Koffing,340,40,65,95,60,45,35,,Poison
110,Weezing,490,65,90,120,85,70,60,,Poison
111,Rhyhorn,345,80,85,95,30,30,25,Rock,Ground
112,Rhydon,485,105,130,120,45,45,40,Rock,Ground
113,Chansey,450,250,5,5,35,105,50,,Normal
114,Tangela,435,65,55,115,100,40,60,,Grass
115,Kangaskhan,490,105,95,80,40,80,90,,Normal
115,KangaskhanMega Kangaskhan,590,105,125,100,60,100,100,,Normal
116,Horsea,295,30,40,70,70,25,60,,Water
117,Seadra,440,55,65,95,95,45,85,,Water
118,Goldeen,320,45,67,60,35,50,63,,Water
119,Seaking,450,80,92,65,65,80,68,,Water
120,Staryu,340,30,45,55,70,55,85,,Water
121,Starmie,520,60,75,85,100,85,115,Psychic,Water
122,Mr. Mime,460,40,45,65,100,120,90,Fairy,Psychic
123,Scyther,500,70,110,80,55,80,105,Flying,Bug
124,Jynx,455,65,50,35,115,95,95,Psychic,Ice
125,Electabuzz,490,65,83,57,95,85,105,,Electric
126,Magmar,495,65,95,57,100,85,93,,Fire
127,Pinsir,500,65,125,100,55,70,85,,Bug
127,PinsirMega Pinsir,600,65,155,120,65,90,105,Flying,Bug
128,Tauros,490,75,100,95,40,70,110,,Normal
129,Magikarp,200,20,10,55,15,20,80,,Water
130,Gyarados,540,95,125,79,60,100,81,Flying,Water
130,GyaradosMega Gyarados,640,95,155,109,70,130,81,Dark,Water
131,Lapras,535,130,85,80,85,95,60,Ice,Water
132,Ditto,288,48,48,48,48,48,48,,Normal
133,Eevee,325,55,55,50,45,65,55,,Normal
134,Vaporeon,525,130,65,60,110,95,65,,Water
135,Jolteon,525,65,65,60,110,95,130,,Electric
136,Flareon,525,65,130,60,95,110,65,,Fire
137,Porygon,395,65,60,70,85,75,40,,Normal
138,Omanyte,355,35,40,100,90,55,35,Water,Rock
139,Omastar,495,70,60,125,115,70,55,Water,Rock
140,Kabuto,355,30,80,90,55,45,55,Water,Rock
141,Kabutops,495,60,115,105,65,70,80,Water,Rock
142,Aerodactyl,515,80,105,65,60,75,130,Flying,Rock
142,AerodactylMega Aerodactyl,615,80,135,85,70,95,150,Flying,Rock
143,Snorlax,540,160,110,65,65,110,30,,Normal
144,Articuno,580,90,85,100,95,125,85,Flying,Ice
145,Zapdos,580,90,90,85,125,90,100,Flying,Electric
146,Moltres,580,90,100,90,125,85,90,Flying,Fire
147,Dratini,300,41,64,45,50,50,50,,Dragon
148,Dragonair,420,61,84,65,70,70,70,,Dragon
149,Dragonite,600,91,134,95,100,100,80,Flying,Dragon
150,Mewtwo,680,106,110,90,154,90,130,,Psychic
150,MewtwoMega Mewtwo X,780,106,190,100,154,100,130,Fighting,Psychic
150,MewtwoMega Mewtwo Y,780,106,150,70,194,120,140,,Psychic
151,Mew,600,100,100,100,100,100,100,,Psychic
152,Chikorita,318,45,49,65,49,65,45,,Grass
153,Bayleef,405,60,62,80,63,80,60,,Grass
154,Meganium,525,80,82,100,83,100,80,,Grass
155,Cyndaquil,309,39,52,43,60,50,65,,Fire
156,Quilava,405,58,64,58,80,65,80,,Fire
157,Typhlosion,534,78,84,78,109,85,100,,Fire
158,Totodile,314,50,65,64,44,48,43,,Water
159,Croconaw,405,65,80,80,59,63,58,,Water
160,Feraligatr,530,85,105,100,79,83,78,,Water
161,Sentret,215,35,46,34,35,45,20,,Normal
162,Furret,415,85,76,64,45,55,90,,Normal
163,Hoothoot,262,60,30,30,36,56,50,Flying,Normal
164,Noctowl,442,100,50,50,76,96,70,Flying,Normal
165,Ledyba,265,40,20,30,40,80,55,Flying,Bug
166,Ledian,390,55,35,50,55,110,85,Flying,Bug
167,Spinarak,250,40,60,40,40,40,30,Poison,Bug
168,Ariados,390,70,90,70,60,60,40,Poison,Bug
169,Crobat,535,85,90,80,70,80,130,Flying,Poison
170,Chinchou,330,75,38,38,56,56,67,Electric,Water
171,Lanturn,460,125,58,58,76,76,67,Electric,Water
172,Pichu,205,20,40,15,35,35,60,,Electric
173,Cleffa,218,50,25,28,45,55,15,,Fairy
174,Igglybuff,210,90,30,15,40,20,15,Fairy,Normal
175,Togepi,245,35,20,65,40,65,20,,Fairy
176,Togetic,405,55,40,85,80,105,40,Flying,Fairy
177,Natu,320,40,50,45,70,45,70,Flying,Psychic
178,Xatu,470,65,75,70,95,70,95,Flying,Psychic
179,Mareep,280,55,40,40,65,45,35,,Electric
180,Flaaffy,365,70,55,55,80,60,45,,Electric
181,Ampharos,510,90,75,85,115,90,55,,Electric
181,AmpharosMega Ampharos,610,90,95,105,165,110,45,Dragon,Electric
182,Bellossom,490,75,80,95,90,100,50,,Grass
183,Marill,250,70,20,50,20,50,40,Fairy,Water
184,Azumarill,420,100,50,80,60,80,50,Fairy,Water
185,Sudowoodo,410,70,100,115,30,65,30,,Rock
186,Politoed,500,90,75,75,90,100,70,,Water
187,Hoppip,250,35,35,40,35,55,50,Flying,Grass
188,Skiploom,340,55,45,50,45,65,80,Flying,Grass
189,Jumpluff,460,75,55,70,55,95,110,Flying,Grass
190,Aipom,360,55,70,55,40,55,85,,Normal
191,Sunkern,180,30,30,30,30,30,30,,Grass
192,Sunflora,425,75,75,55,105,85,30,,Grass
193,Yanma,390,65,65,45,75,45,95,Flying,Bug
194,Wooper,210,55,45,45,25,25,15,Ground,Water
195,Quagsire,430,95,85,85,65,65,35,Ground,Water
196,Espeon,525,65,65,60,130,95,110,,Psychic
197,Umbreon,525,95,65,110,60,130,65,,Dark
198,Murkrow,405,60,85,42,85,42,91,Flying,Dark
199,Slowking,490,95,75,80,100,110,30,Psychic,Water
200,Misdreavus,435,60,60,60,85,85,85,,Ghost
201,Unown,336,48,72,48,72,48,48,,Psychic
202,Wobbuffet,405,190,33,58,33,58,33,,Psychic
203,Girafarig,455,70,80,65,90,65,85,Psychic,Normal
204,Pineco,290,50,65,90,35,35,15,,Bug
205,Forretress,465,75,90,140,60,60,40,Steel,Bug
206,Dunsparce,415,100,70,70,65,65,45,,Normal
207,Gligar,430,65,75,105,35,65,85,Flying,Ground
208,Steelix,510,75,85,200,55,65,30,Ground,Steel
208,SteelixMega Steelix,610,75,125,230,55,95,30,Ground,Steel
209,Snubbull,300,60,80,50,40,40,30,,Fairy
210,Granbull,450,90,120,75,60,60,45,,Fairy
211,Qwilfish,430,65,95,75,55,55,85,Poison,Water
212,Scizor,500,70,130,100,55,80,65,Steel,Bug
212,ScizorMega Scizor,600,70,150,140,65,100,75,Steel,Bug
213,Shuckle,505,20,10,230,10,230,5,Rock,Bug
214,Heracross,500,80,125,75,40,95,85,Fighting,Bug
214,HeracrossMega Heracross,600,80,185,115,40,105,75,Fighting,Bug
215,Sneasel,430,55,95,55,35,75,115,Ice,Dark
216,Teddiursa,330,60,80,50,50,50,40,,Normal
217,Ursaring,500,90,130,75,75,75,55,,Normal
218,Slugma,250,40,40,40,70,40,20,,Fire
219,Magcargo,410,50,50,120,80,80,30,Rock,Fire
220,Swinub,250,50,50,40,30,30,50,Ground,Ice
221,Piloswine,450,100,100,80,60,60,50,Ground,Ice
222,Corsola,380,55,55,85,65,85,35,Rock,Water
223,Remoraid,300,35,65,35,65,35,65,,Water
224,Octillery,480,75,105,75,105,75,45,,Water
225,Delibird,330,45,55,45,65,45,75,Flying,Ice
226,Mantine,465,65,40,70,80,140,70,Flying,Water
227,Skarmory,465,65,80,140,40,70,70,Flying,Steel
228,Houndour,330,45,60,30,80,50,65,Fire,Dark
229,Houndoom,500,75,90,50,110,80,95,Fire,Dark
229,HoundoomMega Houndoom,600,75,90,90,140,90,115,Fire,Dark
230,Kingdra,540,75,95,95,95,95,85,Dragon,Water
231,Phanpy,330,90,60,60,40,40,40,,Ground
232,Donphan,500,90,120,120,60,60,50,,Ground
233,Porygon2,515,85,80,90,105,95,60,,Normal
234,Stantler,465,73,95,62,85,65,85,,Normal
235,Smeargle,250,55,20,35,20,45,75,,Normal
236,Tyrogue,210,35,35,35,35,35,35,,Fighting
237,Hitmontop,455,50,95,95,35,110,70,,Fighting
238,Smoochum,305,45,30,15,85,65,65,Psychic,Ice
239,Elekid,360,45,63,37,65,55,95,,Electric
240,Magby,365,45,75,37,70,55,83,,Fire
241,Miltank,490,95,80,105,40,70,100,,Normal
242,Blissey,540,255,10,10,75,135,55,,Normal
243,Raikou,580,90,85,75,115,100,115,,Electric
244,Entei,580,115,115,85,90,75,100,,Fire
245,Suicune,580,100,75,115,90,115,85,,Water
246,Larvitar,300,50,64,50,45,50,41,Ground,Rock
247,Pupitar,410,70,84,70,65,70,51,Ground,Rock
248,Tyranitar,600,100,134,110,95,100,61,Dark,Rock
248,TyranitarMega Tyranitar,700,100,164,150,95,120,71,Dark,Rock
249,Lugia,680,106,90,130,90,154,110,Flying,Psychic
250,Ho-oh,680,106,130,90,110,154,90,Flying,Fire
251,Celebi,600,100,100,100,100,100,100,Grass,Psychic
252,Treecko,310,40,45,35,65,55,70,,Grass
253,Grovyle,405,50,65,45,85,65,95,,Grass
254,Sceptile,530,70,85,65,105,85,120,,Grass
254,SceptileMega Sceptile,630,70,110,75,145,85,145,Dragon,Grass
255,Torchic,310,45,60,40,70,50,45,,Fire
256,Combusken,405,60,85,60,85,60,55,Fighting,Fire
257,Blaziken,530,80,120,70,110,70,80,Fighting,Fire
257,BlazikenMega Blaziken,630,80,160,80,130,80,100,Fighting,Fire
258,Mudkip,310,50,70,50,50,50,40,,Water
259,Marshtomp,405,70,85,70,60,70,50,Ground,Water
260,Swampert,535,100,110,90,85,90,60,Ground,Water
260,SwampertMega Swampert,635,100,150,110,95,110,70,Ground,Water
261,Poochyena,220,35,55,35,30,30,35,,Dark
262,Mightyena,420,70,90,70,60,60,70,,Dark
263,Zigzagoon,240,38,30,41,30,41,60,,Normal
264,Linoone,420,78,70,61,50,61,100,,Normal
265,Wurmple,195,45,45,35,20,30,20,,Bug
266,Silcoon,205,50,35,55,25,25,15,,Bug
267,Beautifly,395,60,70,50,100,50,65,Flying,Bug
268,Cascoon,205,50,35,55,25,25,15,,Bug
269,Dustox,385,60,50,70,50,90,65,Poison,Bug
270,Lotad,220,40,30,30,40,50,30,Grass,Water
271,Lombre,340,60,50,50,60,70,50,Grass,Water
272,Ludicolo,480,80,70,70,90,100,70,Grass,Water
273,Seedot,220,40,40,50,30,30,30,,Grass
274,Nuzleaf,340,70,70,40,60,40,60,Dark,Grass
275,Shiftry,480,90,100,60,90,60,80,Dark,Grass
276,Taillow,270,40,55,30,30,30,85,Flying,Normal
277,Swellow,430,60,85,60,50,50,125,Flying,Normal
278,Wingull,270,40,30,30,55,30,85,Flying,Water
279,Pelipper,430,60,50,100,85,70,65,Flying,Water
280,Ralts,198,28,25,25,45,35,40,Fairy,Psychic
281,Kirlia,278,38,35,35,65,55,50,Fairy,Psychic
282,Gardevoir,518,68,65,65,125,115,80,Fairy,Psychic
282,GardevoirMega Gardevoir,618,68,85,65,165,135,100,Fairy,Psychic
283,Surskit,269,40,30,32,50,52,65,Water,Bug
284,Masquerain,414,70,60,62,80,82,60,Flying,Bug
285,Shroomish,295,60,40,60,40,60,35,,Grass
286,Breloom,460,60,130,80,60,60,70,Fighting,Grass
287,Slakoth,280,60,60,60,35,35,30,,Normal
288,Vigoroth,440,80,80,80,55,55,90,,Normal
289,Slaking,670,150,160,100,95,65,100,,Normal
290,Nincada,266,31,45,90,30,30,40,Ground,Bug
291,Ninjask,456,61,90,45,50,50,160,Flying,Bug
292,Shedinja,236,1,90,45,30,30,40,Ghost,Bug
293,Whismur,240,64,51,23,51,23,28,,Normal
294,Loudred,360,84,71,43,71,43,48,,Normal
295,Exploud,490,104,91,63,91,73,68,,Normal
296,Makuhita,237,72,60,30,20,30,25,,Fighting
297,Hariyama,474,144,120,60,40,60,50,,Fighting
298,Azurill,190,50,20,40,20,40,20,Fairy,Normal
299,Nosepass,375,30,45,135,45,90,30,,Rock
300,Skitty,260,50,45,45,35,35,50,,Normal
301,Delcatty,380,70,65,65,55,55,70,,Normal
302,Sableye,380,50,75,75,65,65,50,Ghost,Dark
302,SableyeMega Sableye,480,50,85,125,85,115,20,Ghost,Dark
303,Mawile,380,50,85,85,55,55,50,Fairy,Steel
303,MawileMega Mawile,480,50,105,125,55,95,50,Fairy,Steel
304,Aron,330,50,70,100,40,40,30,Rock,Steel
305,Lairon,430,60,90,140,50,50,40,Rock,Steel
306,Aggron,530,70,110,180,60,60,50,Rock,Steel
306,AggronMega Aggron,630,70,140,230,60,80,50,,Steel
307,Meditite,280,30,40,55,40,55,60,Psychic,Fighting
308,Medicham,410,60,60,75,60,75,80,Psychic,Fighting
308,MedichamMega Medicham,510,60,100,85,80,85,100,Psychic,Fighting
309,Electrike,295,40,45,40,65,40,65,,Electric
310,Manectric,475,70,75,60,105,60,105,,Electric
310,ManectricMega Manectric,575,70,75,80,135,80,135,,Electric
311,Plusle,405,60,50,40,85,75,95,,Electric
312,Minun,405,60,40,50,75,85,95,,Electric
313,Volbeat,400,65,73,55,47,75,85,,Bug
314,Illumise,400,65,47,55,73,75,85,,Bug
315,Roselia,400,50,60,45,100,80,65,Poison,Grass
316,Gulpin,302,70,43,53,43,53,40,,Poison
317,Swalot,467,100,73,83,73,83,55,,Poison
318,Carvanha,305,45,90,20,65,20,65,Dark,Water
319,Sharpedo,460,70,120,40,95,40,95,Dark,Water
319,SharpedoMega Sharpedo,560,70,140,70,110,65,105,Dark,Water
320,Wailmer,400,130,70,35,70,35,60,,Water
321,Wailord,500,170,90,45,90,45,60,,Water
322,Numel,305,60,60,40,65,45,35,Ground,Fire
323,Camerupt,460,70,100,70,105,75,40,Ground,Fire
323,CameruptMega Camerupt,560,70,120,100,145,105,20,Ground,Fire
324,Torkoal,470,70,85,140,85,70,20,,Fire
325,Spoink,330,60,25,35,70,80,60,,Psychic
326,Grumpig,470,80,45,65,90,110,80,,Psychic
327,Spinda,360,60,60,60,60,60,60,,Normal
328,Trapinch,290,45,100,45,45,45,10,,Ground
329,Vibrava,340,50,70,50,50,50,70,Dragon,Ground
330,Flygon,520,80,100,80,80,80,100,Dragon,Ground
331,Cacnea,335,50,85,40,85,40,35,,Grass
332,Cacturne,475,70,115,60,115,60,55,Dark,Grass
333,Swablu,310,45,40,60,40,75,50,Flying,Normal
334,Altaria,490,75,70,90,70,105,80,Flying,Dragon
334,AltariaMega Altaria,590,75,110,110,110,105,80,Fairy,Dragon
335,Zangoose,458,73,115,60,60,60,90,,Normal
336,Seviper,458,73,100,60,100,60,65,,Poison
337,Lunatone,440,70,55,65,95,85,70,Psychic,Rock
338,Solrock,440,70,95,85,55,65,70,Psychic,Rock
339,Barboach,288,50,48,43,46,41,60,Ground,Water
340,Whiscash,468,110,78,73,76,71,60,Ground,Water
341,Corphish,308,43,80,65,50,35,35,,Water
342,Crawdaunt,468,63,120,85,90,55,55,Dark,Water
343,Baltoy,300,40,40,55,40,70,55,Psychic,Ground
344,Claydol,500,60,70,105,70,120,75,Psychic,Ground
345,Lileep,355,66,41,77,61,87,23,Grass,Rock
346,Cradily,495,86,81,97,81,107,43,Grass,Rock
347,Anorith,355,45,95,50,40,50,75,Bug,Rock
348,Armaldo,495,75,125,100,70,80,45,Bug,Rock
349,Feebas,200,20,15,20,10,55,80,,Water
350,Milotic,540,95,60,79,100,125,81,,Water
351,Castform,420,70,70,70,70,70,70,,Normal
352,Kecleon,440,60,90,70,60,120,40,,Normal
353,Shuppet,295,44,75,35,63,33,45,,Ghost
354,Banette,455,64,115,65,83,63,65,,Ghost
354,BanetteMega Banette,555,64,165,75,93,83,75,,Ghost
355,Duskull,295,20,40,90,30,90,25,,Ghost
356,Dusclops,455,40,70,130,60,130,25,,Ghost
357,Tropius,460,99,68,83,72,87,51,Flying,Grass
358,Chimecho,425,65,50,70,95,80,65,,Psychic
359,Absol,465,65,130,60,75,60,75,,Dark
359,AbsolMega Absol,565,65,150,60,115,60,115,,Dark
360,Wynaut,260,95,23,48,23,48,23,,Psychic
361,Snorunt,300,50,50,50,50,50,50,,Ice
362,Glalie,480,80,80,80,80,80,80,,Ice
362,GlalieMega Glalie,580,80,120,80,120,80,100,,Ice
363,Spheal,290,70,40,50,55,50,25,Water,Ice
364,Sealeo,410,90,60,70,75,70,45,Water,Ice
365,Walrein,530,110,80,90,95,90,65,Water,Ice
366,Clamperl,345,35,64,85,74,55,32,,Water
367,Huntail,485,55,104,105,94,75,52,,Water
368,Gorebyss,485,55,84,105,114,75,52,,Water
369,Relicanth,485,100,90,130,45,65,55,Rock,Water
370,Luvdisc,330,43,30,55,40,65,97,,Water
371,Bagon,300,45,75,60,40,30,50,,Dragon
372,Shelgon,420,65,95,100,60,50,50,,Dragon
373,Salamence,600,95,135,80,110,80,100,Flying,Dragon
373,SalamenceMega Salamence,700,95,145,130,120,90,120,Flying,Dragon
374,Beldum,300,40,55,80,35,60,30,Psychic,Steel
375,Metang,420,60,75,100,55,80,50,Psychic,Steel
376,Metagross,600,80,135,130,95,90,70,Psychic,Steel
376,MetagrossMega Metagross,700,80,145,150,105,110,110,Psychic,Steel
377,Regirock,580,80,100,200,50,100,50,,Rock
378,Regice,580,80,50,100,100,200,50,,Ice
379,Registeel,580,80,75,150,75,150,50,,Steel
380,Latias,600,80,80,90,110,130,110,Psychic,Dragon
380,LatiasMega Latias,700,80,100,120,140,150,110,Psychic,Dragon
381,Latios,600,80,90,80,130,110,110,Psychic,Dragon
381,LatiosMega Latios,700,80,130,100,160,120,110,Psychic,Dragon
382,Kyogre,670,100,100,90,150,140,90,,Water
382,KyogrePrimal Kyogre,770,100,150,90,180,160,90,,Water
383,Groudon,670,100,150,140,100,90,90,,Ground
383,GroudonPrimal Groudon,770,100,180,160,150,90,90,Fire,Ground
384,Rayquaza,680,105,150,90,150,90,95,Flying,Dragon
384,RayquazaMega Rayquaza,780,105,180,100,180,100,115,Flying,Dragon
385,Jirachi,600,100,100,100,100,100,100,Psychic,Steel
386,DeoxysNormal Forme,600,50,150,50,150,50,150,,Psychic
386,DeoxysAttack Forme,600,50,180,20,180,20,150,,Psychic
386,DeoxysDefense Forme,600,50,70,160,70,160,90,,Psychic
386,DeoxysSpeed Forme,600,50,95,90,95,90,180,,Psychic
387,Turtwig,318,55,68,64,45,55,31,,Grass
388,Grotle,405,75,89,85,55,65,36,,Grass
389,Torterra,525,95,109,105,75,85,56,Ground,Grass
390,Chimchar,309,44,58,44,58,44,61,,Fire
391,Monferno,405,64,78,52,78,52,81,Fighting,Fire
392,Infernape,534,76,104,71,104,71,108,Fighting,Fire
393,Piplup,314,53,51,53,61,56,40,,Water
394,Prinplup,405,64,66,68,81,76,50,,Water
395,Empoleon,530,84,86,88,111,101,60,Steel,Water
396,Starly,245,40,55,30,30,30,60,Flying,Normal
397,Staravia,340,55,75,50,40,40,80,Flying,Normal
398,Staraptor,485,85,120,70,50,60,100,Flying,Normal
399,Bidoof,250,59,45,40,35,40,31,,Normal
400,Bibarel,410,79,85,60,55,60,71,Water,Normal
401,Kricketot,194,37,25,41,25,41,25,,Bug
402,Kricketune,384,77,85,51,55,51,65,,Bug
403,Shinx,263,45,65,34,40,34,45,,Electric
404,Luxio,363,60,85,49,60,49,60,,Electric
405,Luxray,523,80,120,79,95,79,70,,Electric
406,Budew,280,40,30,35,50,70,55,Poison,Grass
407,Roserade,515,60,70,65,125,105,90,Poison,Grass
408,Cranidos,350,67,125,40,30,30,58,,Rock
409,Rampardos,495,97,165,60,65,50,58,,Rock
410,Shieldon,350,30,42,118,42,88,30,Steel,Rock
411,Bastiodon,495,60,52,168,47,138,30,Steel,Rock
412,Burmy,224,40,29,45,29,45,36,,Bug
413,WormadamPlant Cloak,424,60,59,85,79,105,36,Grass,Bug
413,WormadamSandy Cloak,424,60,79,105,59,85,36,Ground,Bug
413,WormadamTrash Cloak,424,60,69,95,69,95,36,Steel,Bug
414,Mothim,424,70,94,50,94,50,66,Flying,Bug
415,Combee,244,30,30,42,30,42,70,Flying,Bug
416,Vespiquen,474,70,80,102,80,102,40,Flying,Bug
417,Pachirisu,405,60,45,70,45,90,95,,Electric
418,Buizel,330,55,65,35,60,30,85,,Water
419,Floatzel,495,85,105,55,85,50,115,,Water
420,Cherubi,275,45,35,45,62,53,35,,Grass
421,Cherrim,450,70,60,70,87,78,85,,Grass
422,Shellos,325,76,48,48,57,62,34,,Water
423,Gastrodon,475,111,83,68,92,82,39,Ground,Water
424,Ambipom,482,75,100,66,60,66,115,,Normal
425,Drifloon,348,90,50,34,60,44,70,Flying,Ghost
426,Drifblim,498,150,80,44,90,54,80,Flying,Ghost
427,Buneary,350,55,66,44,44,56,85,,Normal
428,Lopunny,480,65,76,84,54,96,105,,Normal
428,LopunnyMega Lopunny,580,65,136,94,54,96,135,Fighting,Normal
429,Mismagius,495,60,60,60,105,105,105,,Ghost
430,Honchkrow,505,100,125,52,105,52,71,Flying,Dark
431,Glameow,310,49,55,42,42,37,85,,Normal
